class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22
1,0.999981046,0.338193625,0.027837764,0.999997377,0.496354848,0.360280395,0.506123781,0.999327064,0.573923886,0.437115967,-0.079989605,0.995151281,0.298827857,0.349113017,0.481771678,0.621804357,0.470394015,0.535109401,-0.115826175,0.959487855,0.140974134,0.322588801,0.292915225,0.683313012,0.451996267,0.56596148,-0.142261416,0.923180521,0.08849708,0.317965567,0.222814053,0.617560387,0.438207537,0.564498782,-0.183541313,0.923438668,0.091628872,0.316800982,0.205933928,0.632298529,0.444209129,0.55617398,-0.125498503,0.908965409,0.107750386,0.324597687,0.252333969,0.66325599,0.590851784,0.515459955,-0.157934383,0.99978745,0.519424379,0.532818854,0.157167032,0.999187887,0.617758334,0.688918114,-0.426364481,0.970023692,0.547983408,0.697485685,-0.097214527,0.608513951,0.671733379,0.895888805,-0.648788512,0.939513326,0.633116305,0.894199193,-0.311034024,0.632241368,0.709770262,0.926554322,-0.673583031,0.7072891,0.65476197,0.923361182,-0.338032991,0.542348385,0.567927897,0.944012046,-0.902503014,0.924035072,0.508435309,0.934276283,-0.517569125,0.722546637
1,0.999973238,0.364172548,-0.452156991,0.999991596,0.498702705,0.404687643,0.18510589,0.999549329,0.547923684,0.493843555,-0.589026451,0.981726229,0.485611141,0.524067223,0.248765901,0.369262397,0.478316963,0.606857181,-0.592695713,0.897135377,0.441404521,0.622016966,0.052916002,0.395222008,0.461496025,0.638404012,-0.652688205,0.841546834,0.411293954,0.646152794,0.023945808,0.355415583,0.446092635,0.641606033,-0.653266311,0.835920572,0.401593566,0.645079374,-0.043159191,0.364018232,0.456340998,0.632204652,-0.589085698,0.809361458,0.414468974,0.639602065,0.015903566,0.392139614,0.738898993,0.544351697,-0.221381575,0.999723673,0.668314934,0.562704444,0.221118584,0.999162078,0.584232688,0.683813274,-0.62101841,0.963225901,0.556242347,0.697131395,-0.181160241,0.534425497,0.669652998,0.888013184,-0.766373217,0.935975313,0.651606023,0.882217705,-0.394247532,0.539369047,0.717745066,0.924678624,-0.799503565,0.698304236,0.68906045,0.920609832,-0.416942984,0.465797126,0.531420708,0.931439579,-1.043986201,0.926919639,0.523400486,0.930338264,-0.598122716,0.666947424
1,0.999959648,0.385145605,-0.420097262,0.999985635,0.497095227,0.422748566,0.257276744,0.999553919,0.53960675,0.510559142,-0.55455482,0.980716825,0.489159167,0.527866721,0.325631052,0.375504643,0.481450498,0.628834128,-0.499447256,0.894329548,0.437443703,0.627022266,0.152179196,0.395128757,0.470814049,0.65988481,-0.548863709,0.837248147,0.407665521,0.648495495,0.128989086,0.353487641,0.458647549,0.662841618,-0.549217284,0.831158817,0.398629546,0.648828149,0.07359989,0.362086177,0.463568121,0.653113008,-0.493696928,0.80371201,0.409518063,0.644399107,0.120040648,0.389291286,0.760805428,0.561440587,-0.228637591,0.999628842,0.686486363,0.578509033,0.228381693,0.999075592,0.572561681,0.687528014,-0.589150131,0.955293119,0.550064802,0.700426221,-0.182825536,0.530801892,0.669387043,0.887448907,-0.65860045,0.92986685,0.653674245,0.882849097,-0.310575664,0.52725637,0.716643691,0.922362626,-0.671042323,0.701844156,0.690688968,0.92032212,-0.32686466,0.458202064,0.531924963,0.928559601,-0.893832564,0.923114359,0.524257004,0.929451168,-0.50114888,0.655057728
1,0.999947548,0.398728043,-0.351037502,0.999982119,0.497883111,0.427333504,0.382035702,0.999558866,0.53203702,0.521086216,-0.43795684,0.97843951,0.498395413,0.533737957,0.506839037,0.365379006,0.48169896,0.636190057,-0.26667735,0.88817209,0.439859211,0.629688978,0.386945993,0.380935222,0.475267738,0.665136099,-0.288754672,0.829732955,0.400181115,0.650735676,0.386127681,0.341102391,0.464177907,0.666189313,-0.284585923,0.823181272,0.394131541,0.651082575,0.334780127,0.349634558,0.46720773,0.656807542,-0.253950506,0.795347154,0.408521622,0.643272638,0.356938213,0.37538144,0.76955229,0.573763132,-0.24597083,0.999563098,0.710008919,0.585488737,0.245735928,0.999027431,0.557685196,0.691791296,-0.47069028,0.947918057,0.543953538,0.701737165,-0.05315955,0.529272616,0.668422163,0.884097099,-0.489039898,0.923464715,0.651696801,0.877495587,-0.107760437,0.516918123,0.7115798,0.921047568,-0.491950363,0.711988688,0.686175644,0.912736237,-0.118050426,0.460631758,0.5302791,0.927595973,-0.629962265,0.918936491,0.521590948,0.924990058,-0.219317734,0.643358588
0,0.999980807,0.548082054,-0.249503687,0.999663115,0.466670215,0.589296758,0.288128644,0.999429584,0.545648992,0.685959578,-0.296068192,0.954224646,0.475721151,0.716596961,0.331746072,0.430670947,0.463714927,0.807625592,-0.210569277,0.893699288,0.426052868,0.82500124,0.267275542,0.498233676,0.440999061,0.841711819,-0.245432347,0.85311538,0.418693751,0.852300048,0.25062865,0.45695132,0.422631234,0.841559231,-0.236061811,0.851225257,0.413394898,0.850456595,0.207427725,0.464363486,0.431713432,0.829021752,-0.203929648,0.841467857,0.424653888,0.841878533,0.242351994,0.471132159,0.791288316,0.705513299,-0.177073017,0.999714911,0.726686776,0.717189312,0.176435262,0.9992553,0.50118947,0.731097817,-0.313950539,0.94866842,0.456339359,0.740497053,0.182333902,0.469080746,0.640824914,0.898629189,-0.3373321,0.946759582,0.576051772,0.889392078,0.046960015,0.516229272,0.703741074,0.926692665,-0.331821859,0.882510126,0.627044916,0.904246926,0.027203077,0.520662189,0.488659114,0.938648522,-0.377856523,0.941064656,0.503422916,0.94158268,-0.048576202,0.570379198
1,0.999953389,0.320142478,-0.143809974,0.999876082,0.541375637,0.359658659,0.379683942,0.9991135,0.594929039,0.43767485,-0.242101818,0.972268105,0.547066689,0.464413702,0.446603268,0.272832453,0.512616932,0.542313337,-0.231058255,0.843128681,0.485942841,0.564104438,0.308889329,0.276887685,0.505923927,0.570245504,-0.267193764,0.763745487,0.435297906,0.601448178,0.28645426,0.261439145,0.47357741,0.579870343,-0.269574583,0.758209109,0.430840135,0.603034616,0.236713514,0.270154208,0.479330868,0.573161244,-0.228748083,0.740695238,0.451964051,0.586022496,0.279144913,0.292485476,0.660850346,0.51099503,-0.166386813,0.999490261,0.605409026,0.522825658,0.166091114,0.998676836,0.645760179,0.6827842,-0.368676037,0.946489632,0.576835692,0.687386155,-0.024324529,0.565957367,0.669777453,0.894050121,-0.540277004,0.917109072,0.633891582,0.882098198,-0.210286289,0.5365448,0.715770364,0.925183117,-0.563468635,0.694880784,0.666265011,0.917269111,-0.236272156,0.456915587,0.527399123,0.943219185,-0.785525918,0.894077778,0.50687927,0.927634597,-0.398975343,0.59834528
0,0.999961376,0.534519076,-0.242141157,0.99973923,0.509850502,0.547061086,0.318996698,0.999064207,0.536311269,0.678832769,-0.289180934,0.961419702,0.502117753,0.661675334,0.578278899,0.283869654,0.45212394,0.796257555,-0.196463123,0.905564547,0.392366707,0.661853135,0.862194598,0.413166553,0.440099239,0.828110576,-0.219046727,0.86928153,0.361155868,0.649688482,0.928007066,0.394851387,0.422497898,0.829235375,-0.208390445,0.86732614,0.346276641,0.647695601,0.937276006,0.394372135,0.430387914,0.818826377,-0.186461747,0.854587615,0.364531845,0.65388763,0.874894023,0.392865747,0.812998116,0.6816836,-0.183896318,0.999525368,0.769661486,0.685548186,0.183416203,0.998726547,0.509741485,0.73123765,-0.243432999,0.937684953,0.52701211,0.732619226,0.220750153,0.406704217,0.638956904,0.897065997,-0.162118092,0.937664092,0.627573907,0.890078425,0.165564075,0.498849779,0.678824127,0.921063066,-0.144853309,0.878397822,0.674226165,0.904586315,0.15953891,0.530760944,0.495479405,0.932534218,-0.115175322,0.926720023,0.509141684,0.927287936,0.149659038,0.553314984
1,0.999953508,0.322484076,0.092616536,0.999872863,0.545903563,0.362461269,0.593073785,0.999017537,0.594586849,0.425775588,-0.014139423,0.962369025,0.514819086,0.431049407,0.549351752,0.233334929,0.524573624,0.521561265,-0.012823168,0.770918489,0.447331697,0.481954515,0.376941651,0.239744991,0.516804039,0.550994992,-0.03906038,0.684648871,0.437302023,0.510228872,0.33550781,0.22825107,0.505193532,0.550055861,-0.049236901,0.676441252,0.39791289,0.545238197,0.30428189,0.236166522,0.50864929,0.540871263,-0.011719557,0.658761978,0.435612559,0.513413787,0.35145241,0.254782915,0.670052409,0.509649396,-0.159263596,0.999539614,0.61164552,0.525332391,0.158805564,0.998574257,0.644662619,0.67985487,-0.446895272,0.940094352,0.57325542,0.687829077,-0.1230665,0.549125493,0.673957586,0.895567298,-0.733130634,0.904305816,0.63537997,0.891400814,-0.396494508,0.514412642,0.722810507,0.928388596,-0.770116925,0.653959751,0.668898165,0.925603569,-0.434643477,0.45034796,0.542984068,0.942854524,-1.02177763,0.881459296,0.500729978,0.933651626,-0.621285737,0.579430282
0,0.999976456,0.537101805,-0.300753862,0.999745071,0.520719171,0.56140697,0.255843222,0.999309123,0.547740459,0.674907148,-0.322492361,0.956567109,0.507547379,0.675010383,0.366321146,0.322926939,0.465349615,0.798982263,-0.247551367,0.877738178,0.423150748,0.791451454,0.375450224,0.41874519,0.442507386,0.833853364,-0.279740214,0.836511552,0.413135827,0.829923451,0.380479008,0.398516029,0.427893072,0.837080002,-0.262743324,0.83305043,0.403710604,0.826200664,0.350811213,0.403131455,0.435708463,0.824953556,-0.2379186,0.821346164,0.416625291,0.798785567,0.360629201,0.405521303,0.819085181,0.688115001,-0.190477461,0.999501526,0.772444606,0.697229445,0.189861909,0.998785555,0.527905285,0.717441738,-0.248891637,0.930432737,0.526462317,0.737994373,0.201229513,0.430393636,0.641683936,0.897604346,-0.158067092,0.929020405,0.637980878,0.89673537,0.173888594,0.493272483,0.695239007,0.925706565,-0.141565919,0.85404563,0.683398128,0.922768474,0.168685719,0.518039644,0.494237483,0.932439506,-0.148356229,0.92266947,0.524374545,0.932490826,0.11114075,0.550689161
1,0.999940276,0.330174565,-0.046921894,0.999892294,0.557161748,0.364519775,0.452242404,0.998508453,0.611284316,0.437521696,-0.181252062,0.965194166,0.414346397,0.380449951,0.420327514,0.235715985,0.544239879,0.554743588,-0.158396646,0.734730363,0.260321409,0.336930782,0.323266566,0.242633551,0.52776742,0.577959895,-0.183404133,0.641110957,0.214555755,0.325581163,0.294658899,0.222728804,0.477904648,0.582936585,-0.200705066,0.635185778,0.135125995,0.32019642,0.27174896,0.231471181,0.46957922,0.576455235,-0.160008773,0.621742904,0.230829075,0.33234486,0.296303779,0.254463613,0.679513574,0.517030835,-0.161356255,0.999522984,0.613022089,0.530814826,0.160939187,0.998393893,0.642971873,0.680468082,-0.424261272,0.939572513,0.579715371,0.69256556,-0.120314367,0.524767458,0.676033378,0.895133197,-0.626599193,0.91195941,0.639395475,0.891455829,-0.345757931,0.533612788,0.725054026,0.9249385,-0.654674828,0.644521773,0.67846036,0.922969639,-0.378574401,0.459034681,0.541574299,0.949038684,-0.906913996,0.88886416,0.504027665,0.932688713,-0.574586749,0.606752217
