class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22
0,0.999972463,0.391614318,-0.54759419,0.999894023,0.322326541,0.396467388,-0.64796263,0.999810338,0.634164155,0.519599974,-0.622889936,0.973112106,0.321243554,0.524549365,-0.513286948,0.978617787,0.634284198,0.642660618,-0.625757277,0.938355267,0.331125796,0.648195028,-0.548173845,0.941053271,0.656520784,0.675772548,-0.650082052,0.904905379,0.310723603,0.680913091,-0.582526445,0.913884282,0.632647038,0.680820465,-0.704401672,0.9043262,0.338303387,0.687299192,-0.633121192,0.915840745,0.617735863,0.671402454,-0.646816313,0.909499645,0.35302031,0.678718805,-0.57209152,0.920280516,0.562604189,0.532379746,-0.004884609,0.999860346,0.413293511,0.536546767,0.004226851,0.999849617,0.618443549,0.635093808,-0.585840046,0.878302515,0.369915128,0.6430673,-0.385809332,0.882775009,0.605398834,0.774662852,-0.25852561,0.85358882,0.396527857,0.76865989,-0.128501207,0.894169033,0.59018743,0.794551194,-0.243314758,0.769417286,0.416568846,0.793961823,-0.118333265,0.77204752,0.665049314,0.821793675,-0.445145845,0.809197783,0.333833277,0.807176411,-0.325106502,0.866797984
0,0.999974966,0.384914219,-0.490484029,0.999902129,0.322593719,0.388692677,-0.502390563,0.999824524,0.634272277,0.510792971,-0.470807403,0.974532068,0.321244568,0.513065636,-0.419146597,0.979835808,0.634078026,0.629554689,-0.478248179,0.941667795,0.330624282,0.633349359,-0.446746618,0.945300817,0.656498373,0.663199246,-0.50324434,0.909694076,0.31080088,0.667050481,-0.472573459,0.919834554,0.632510245,0.667509317,-0.545778096,0.908878267,0.337635189,0.671597838,-0.519337654,0.921439588,0.617708862,0.657720208,-0.495369285,0.913747549,0.352360874,0.659181058,-0.46795705,0.925443351,0.56251961,0.527804375,-0.004517,0.999869347,0.412261188,0.529932857,0.003804679,0.999856234,0.617832839,0.644731879,-0.433573693,0.878568113,0.375493914,0.642610073,-0.277430266,0.885817111,0.605540574,0.780361772,-0.198301077,0.855552971,0.396725118,0.775412619,-0.082519464,0.897311449,0.590071321,0.801569164,-0.189360067,0.770771921,0.416734815,0.799467683,-0.077562094,0.77464056,0.674086094,0.831650257,-0.370451689,0.811274052,0.333859026,0.812010646,-0.262032241,0.869720459
0,0.999977052,0.369624674,-0.44940716,0.999905884,0.324977309,0.373586893,-0.44295001,0.999835312,0.631809175,0.49057883,-0.399923205,0.975548208,0.325098127,0.493265778,-0.369468808,0.980916619,0.633417904,0.612075806,-0.406856149,0.940776587,0.331003338,0.611266613,-0.399988264,0.947543144,0.655143797,0.643048882,-0.432073295,0.907414854,0.315532476,0.646391749,-0.424387306,0.922254086,0.628970027,0.645603478,-0.471153766,0.90626061,0.341797084,0.648453712,-0.471859008,0.923569977,0.616363764,0.636878431,-0.421862334,0.911509097,0.354376614,0.637070954,-0.420319974,0.92748034,0.562715888,0.519664705,-0.005245967,0.999874353,0.413403332,0.52085489,0.004493905,0.999859989,0.617062151,0.640979469,-0.386709243,0.879722238,0.377132416,0.637790322,-0.244857326,0.889463186,0.603517652,0.780285597,-0.150954485,0.857044578,0.397178382,0.777656674,-0.047215119,0.900142729,0.588786721,0.80133754,-0.142204508,0.765988469,0.417752951,0.800492883,-0.041588947,0.772525728,0.672217548,0.83234328,-0.317356795,0.81263262,0.334030867,0.815320134,-0.22097744,0.871965587
0,0.999979019,0.357453644,-0.432901174,0.999905467,0.327400476,0.361902684,-0.434066683,0.999842405,0.629982352,0.475216478,-0.383049339,0.976329744,0.327477038,0.480668634,-0.373912036,0.981619239,0.631798863,0.600709379,-0.391005635,0.933534741,0.332336247,0.59705162,-0.405983776,0.943145216,0.652035832,0.632839262,-0.418521404,0.893912196,0.319192082,0.634149432,-0.434202611,0.913083971,0.624738693,0.635666013,-0.45647794,0.892710507,0.347060472,0.635583818,-0.479814142,0.914244115,0.613815308,0.625132918,-0.405323744,0.898341,0.35739097,0.620904028,-0.425231516,0.919075847,0.562436879,0.511942148,-0.003284946,0.99988234,0.41357103,0.513796031,0.002511382,0.999868214,0.61647433,0.637932181,-0.33559972,0.878986716,0.378960937,0.633941472,-0.262225419,0.894388795,0.602009058,0.780344307,-0.152031362,0.860037565,0.397849143,0.777746916,-0.070461646,0.904346049,0.584220231,0.802955031,-0.148569673,0.763381422,0.417756319,0.799454272,-0.0656192,0.766836286,0.676842272,0.831547737,-0.332175523,0.816996276,0.33512488,0.816003144,-0.252783954,0.876342356
0,0.999980211,0.335391372,-0.330390304,0.999906242,0.32974869,0.34309569,-0.356662869,0.99985075,0.628038466,0.44532761,-0.256448984,0.976106882,0.328491688,0.455081552,-0.284610599,0.981769741,0.629117012,0.565039277,-0.280743927,0.926229239,0.33233726,0.566231787,-0.322205663,0.936650813,0.647761762,0.599250495,-0.306283444,0.881190836,0.319320351,0.598811269,-0.349127591,0.901943862,0.623803556,0.59819603,-0.346620053,0.88033092,0.346738517,0.599357247,-0.396654844,0.903184533,0.612616599,0.585006714,-0.29554674,0.885544717,0.354306221,0.584555149,-0.342341751,0.908468425,0.561508715,0.498280942,0.008860164,0.999884546,0.413578719,0.499584526,-0.009564644,0.999871254,0.616293907,0.633245766,-0.241306514,0.877762139,0.38128683,0.633297324,-0.231486931,0.899253011,0.597659528,0.779742956,-0.14398928,0.862155557,0.39785549,0.777920127,-0.086019456,0.907346606,0.576564372,0.802711368,-0.147938699,0.76044184,0.417428702,0.798796296,-0.084680788,0.755517423,0.679632843,0.830931067,-0.338878751,0.820120573,0.337999672,0.816549599,-0.278923362,0.87865597
0,0.999980986,0.324696243,-0.300065368,0.999908328,0.334386736,0.330316454,-0.317348778,0.999856114,0.626031518,0.436637461,-0.22037375,0.975956261,0.331713319,0.439153045,-0.233623102,0.980843484,0.62728107,0.550791562,-0.239445925,0.919989526,0.331617504,0.540142834,-0.269812167,0.923347473,0.642666101,0.582411408,-0.261126846,0.869618177,0.319813758,0.571539462,-0.29247731,0.883336484,0.620739937,0.581972778,-0.300657272,0.869195282,0.343024582,0.571172178,-0.343185723,0.885155618,0.610072076,0.569836259,-0.253131837,0.874748766,0.349633694,0.560297966,-0.291429669,0.89130944,0.557654083,0.491604894,0.013157713,0.999880373,0.413451523,0.491500944,-0.01376403,0.999865115,0.613793075,0.623935997,-0.2341059,0.877363086,0.382482141,0.625324368,-0.196623713,0.903865874,0.592596889,0.779230475,-0.167626068,0.863971591,0.397757053,0.777307987,-0.097968251,0.907589674,0.569632173,0.802550435,-0.172284007,0.75578028,0.416770309,0.798677444,-0.097806662,0.737577856,0.655092299,0.823927045,-0.366218865,0.822313905,0.339974821,0.816692233,-0.292186201,0.877044678
0,0.99998033,0.304893881,-0.272099078,0.999909997,0.33484596,0.311155707,-0.295160621,0.999863386,0.623531461,0.420074761,-0.180058733,0.975568235,0.334936053,0.421216786,-0.199015304,0.980027676,0.623085558,0.529883802,-0.212718651,0.915490925,0.33408007,0.519281089,-0.23059243,0.916132212,0.635070145,0.562334657,-0.236136541,0.86241132,0.323669255,0.550988078,-0.253756195,0.873416901,0.614278853,0.561728537,-0.279357463,0.862589002,0.345046461,0.549577832,-0.304217815,0.875834823,0.602698922,0.548865974,-0.227706164,0.867952406,0.352012902,0.537473857,-0.250782341,0.881404936,0.557433903,0.48396492,0.014931835,0.999866188,0.413420737,0.48608011,-0.015493486,0.999846697,0.612058818,0.614944875,-0.235568315,0.879692793,0.386619478,0.616640508,-0.200323611,0.908980489,0.588755965,0.778787792,-0.180872515,0.867169619,0.397633016,0.77707696,-0.101216018,0.908372343,0.565642476,0.802370727,-0.18452701,0.751084983,0.415569276,0.798553705,-0.109665401,0.724165618,0.64531672,0.822818875,-0.384233505,0.826177657,0.343488693,0.816818416,-0.320679486,0.877067924
0,0.999980927,0.296806484,-0.256710202,0.999916017,0.334843904,0.301042557,-0.272493839,0.999871135,0.622548282,0.411421448,-0.179117396,0.976294756,0.334449887,0.409291416,-0.186176389,0.979370773,0.62290436,0.521425366,-0.223334849,0.916425467,0.33732307,0.507665992,-0.217272595,0.909299493,0.635519266,0.553580284,-0.250403672,0.863200426,0.330720812,0.539405048,-0.240391091,0.864582181,0.613136709,0.552194238,-0.293191284,0.863874972,0.35096541,0.537699401,-0.29109478,0.867463946,0.600842714,0.539517462,-0.238474846,0.868622005,0.358448416,0.525883675,-0.237662077,0.872472882,0.557509959,0.480041742,0.014799256,0.999862194,0.413413078,0.480593145,-0.015284554,0.999836147,0.609732568,0.608931065,-0.26879549,0.883372545,0.389271677,0.60590142,-0.22485356,0.914111018,0.588071108,0.778497219,-0.220477611,0.872038245,0.397988498,0.774327397,-0.146563962,0.90979439,0.565190852,0.80195713,-0.234871015,0.752316058,0.415836215,0.795284867,-0.156797305,0.714537919,0.644098759,0.820760131,-0.45887512,0.832169175,0.35452652,0.816726565,-0.374591857,0.878201485
0,0.999981105,0.279187739,-0.192502186,0.999921143,0.336206585,0.277399272,-0.215441838,0.999877572,0.621112704,0.393200129,-0.104659855,0.976884067,0.333150238,0.390253603,-0.14121516,0.978922606,0.621424317,0.503809094,-0.138743088,0.919038355,0.343947142,0.494992584,-0.175152615,0.905080557,0.635840356,0.535181165,-0.167156175,0.867089927,0.33768636,0.526802361,-0.20150201,0.859084785,0.613259435,0.533432245,-0.2138834,0.868093133,0.35983476,0.522981644,-0.249243245,0.862106204,0.600864947,0.521687984,-0.155427665,0.872002065,0.367499322,0.511893332,-0.19465217,0.866337478,0.557015955,0.468774706,0.016057108,0.999857187,0.413217247,0.470314831,-0.016498005,0.99982357,0.603036523,0.601324618,-0.228708774,0.889451325,0.396359175,0.603596091,-0.149197534,0.919748366,0.588653326,0.776447058,-0.19976002,0.878616393,0.397969484,0.773014188,-0.117162935,0.913508296,0.566314757,0.801272392,-0.217707723,0.752441466,0.415846765,0.793932617,-0.133960277,0.706506073,0.643036485,0.818919182,-0.451224864,0.840007663,0.354568958,0.816638649,-0.359876812,0.882019937
0,0.999975801,0.281051517,-0.174488381,0.999921858,0.337293357,0.275680125,-0.190100327,0.999901712,0.618463457,0.391697258,-0.112193406,0.975036025,0.316198707,0.384245485,-0.125077456,0.979888618,0.61131531,0.500497997,-0.186130941,0.906393647,0.3203592,0.488240719,-0.180810019,0.896547198,0.623047233,0.531877875,-0.223090619,0.851850986,0.305719465,0.519610167,-0.212529674,0.842546761,0.597594798,0.529276252,-0.270022511,0.853296757,0.331043065,0.514866054,-0.266553551,0.844736636,0.586594462,0.519372225,-0.204066634,0.853044629,0.33938536,0.504504502,-0.20381768,0.847668767,0.556774855,0.471164078,0.018197913,0.999824345,0.413420796,0.473377377,-0.018620549,0.999793887,0.604542077,0.59780705,-0.272147745,0.883727014,0.3955082,0.601946235,-0.17797409,0.923800051,0.59202528,0.773551822,-0.247495919,0.872895181,0.398677915,0.771500945,-0.134754598,0.910799026,0.569123149,0.798716187,-0.264016479,0.721404493,0.412833273,0.792295575,-0.15108034,0.662811995,0.651607335,0.813197613,-0.496628702,0.837934792,0.352300465,0.81551522,-0.367698073,0.876473844
